date,basedate,tmax
1913-12-08,41613,56
1913-12-09,41614,39
1913-12-10,41615,41
1913-12-11,41616,41
1913-12-12,41617,56
1913-12-13,41618,63
1913-12-14,41619,58
1913-12-15,41620,52
1913-12-16,41621,59
1913-12-17,41622,58
1913-12-18,41623,55
1913-12-19,41624,42
1913-12-20,41625,40
1913-12-21,41626,48
1913-12-22,41627,45
1913-12-23,41628,39
1913-12-24,41629,45
1913-12-25,41630,33
1913-12-26,41631,32
1913-12-27,41632,31
1913-12-28,41633,34
1913-12-29,41634,35
1913-12-30,41635,36
1913-12-31,41636,37
1914-01-01,41637,36
1914-01-02,41638,35
1914-01-03,41639,39
1914-01-04,41640,40
1914-01-05,41641,39
1914-01-06,41642,43
1914-01-07,41643,40
1914-01-08,41644,50
1914-01-09,41645,48
1914-01-10,41646,51
1914-01-11,41647,36
1914-01-12,41648,34
1914-01-13,41649,23
1914-01-14,41650,28
1914-01-15,41651,46
1914-01-16,41652,43
1914-01-17,41653,43
1914-01-18,41654,35
1914-01-19,41655,40
1914-01-20,41656,60
1914-01-21,41657,54
1914-01-22,41658,36
1914-01-23,41659,49
1914-01-24,41660,48
1914-01-25,41661,43
1914-01-26,41662,46
1914-01-27,41663,60
1914-01-28,41664,64
1914-01-29,41665,65
1914-01-30,41666,69
1914-01-31,41667,55
1914-02-01,41668,50
1914-02-02,41669,49
1914-02-03,41670,59
1914-02-04,41671,59
1914-02-05,41672,40
1914-02-06,41673,37
1914-02-07,41674,47
1914-02-08,41675,34
1914-02-09,41676,34
1914-02-10,41677,43
1914-02-11,41678,43
1914-02-12,41679,30
1914-02-13,41680,18
1914-02-14,41681,30
1914-02-15,41682,28
1914-02-16,41683,22
1914-02-17,41684,31
1914-02-18,41685,33
1914-02-19,41686,34
1914-02-20,41687,34
1914-02-21,41688,26
1914-02-22,41689,44
1914-02-23,41690,42
1914-02-24,41691,10
1914-02-25,41692,26
1914-02-26,41693,26
1914-02-27,41694,48
1914-02-28,41695,48
1914-03-01,41696,42
1914-03-02,41697,35
1914-03-03,41698,37
1914-03-04,41699,43
1914-03-05,41700,43
1914-03-06,41701,33
1914-03-07,41702,46
1914-03-08,41703,43
1914-03-09,41704,35
1914-03-10,41705,42
1914-03-11,41706,42
1914-03-12,41707,31
